gene_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
MSTRG.16581,0,0,0,24,0,0
MSTRG.16586,0,0,42,0,0,7
MSTRG.16587,53,269,391,276,216,372
MSTRG.16584,19,128,327,242,157,220
MSTRG.16585,0,7,24,7,20,5
MSTRG.11059,2,24,0,16,20,14
MSTRG.11058,3,21,33,53,46,55
MSTRG.11051,25,319,392,620,566,554
MSTRG.11050,0,35,27,9,4,42
MSTRG.11053,40,106,175,201,209,222
MSTRG.11052,86,514,914,1106,764,1084
MSTRG.11055,24,30,105,48,50,57
MSTRG.11054,0,0,0,0,0,0
MSTRG.11057,0,6,27,0,14,46
MSTRG.11056,0,19,0,11,31,48
ENSDARG00000108720,0,0,0,0,0,11
ENSDARG00000108721,0,0,0,0,0,0
MSTRG.36846,0,32,222,34,13,59
ENSDARG00000100138,0,0,0,0,0,0
ENSDARG00000108726,0,0,0,0,0,0
ENSDARG00000108728,0,7,0,0,0,0
ENSDARG00000100137,0,0,0,0,0,0
ENSDARG00000100131,0,0,0,0,0,0
ENSDARG00000100132,0,5,0,8,2,12
ENSDARG00000087646,0,0,0,0,0,0
MSTRG.9492,0,153,316,86,29,114
MSTRG.18551,111,728,1135,1377,1479,1713
MSTRG.23187,0,3,0,8,3,4
MSTRG.23184,0,0,0,0,0,0
MSTRG.23185,0,11,0,0,0,2
MSTRG.23182,0,10,0,50,8,28
MSTRG.23183,29,142,142,177,147,176
MSTRG.23180,6,16,4,16,3,22
MSTRG.23181,3,65,156,193,130,130
MSTRG.39188,0,0,0,24,0,0
MSTRG.23188,0,0,0,0,0,0
MSTRG.23189,0,0,0,3,0,2
ENSDARG00000076186,0,0,0,0,0,0
ENSDARG00000086118,0,0,0,0,0,0
ENSDARG00000086119,0,0,0,0,0,0
ENSDARG00000038508,0,3,0,0,0,4
ENSDARG00000056330,0,6,0,0,0,0
ENSDARG00000086116,0,0,0,0,0,0
ENSDARG00000086117,0,0,0,0,0,0
MSTRG.38638,0,0,28,0,0,0
ENSDARG00000056804,0,16,0,31,40,14
MSTRG.18022,25,275,342,541,337,467
ENSDARG00000102400,0,0,0,0,0,0
ENSDARG00000086941,0,0,0,0,0,0
ENSDARG00000102409,0,0,0,0,0,0
ENSDARG00000101262,0,0,0,0,0,0
MSTRG.31777,0,95,514,151,157,225
ENSDARG00000101261,0,0,0,0,0,1
ENSDARG00000101267,0,0,0,0,0,0
ENSDARG00000101264,0,0,6,0,0,0
MSTRG.15770,0,0,12,0,0,0
MSTRG.27253,6,14,79,61,69,110
MSTRG.15772,0,8,0,0,4,2
MSTRG.15773,0,0,11,6,0,1
MSTRG.15774,0,2,24,3,0,3
MSTRG.15775,0,4,0,24,14,12
MSTRG.15776,0,11,51,40,11,17
MSTRG.15777,0,0,0,0,19,0
MSTRG.15778,11,80,199,160,146,169
MSTRG.15779,0,0,17,0,0,0
MSTRG.11552,0,29,62,41,28,55
MSTRG.27259,0,0,14,4,5,2
MSTRG.12876,3,45,89,38,60,60
MSTRG.10720,24,368,641,599,584,809
MSTRG.10721,0,8,16,51,59,43
MSTRG.10722,10,82,67,137,93,84
MSTRG.10723,0,26,33,16,15,8
MSTRG.10724,0,22,15,62,39,34
MSTRG.10725,8,39,143,191,110,139
MSTRG.10726,74,477,1415,1699,1442,1688
MSTRG.10727,32,191,350,548,372,514
MSTRG.10728,0,0,0,0,0,0
MSTRG.10729,0,0,0,0,12,1
MSTRG.34195,22,227,460,653,487,649
ENSDARG00000106747,0,0,4,0,0,0
ENSDARG00000106740,0,0,0,0,0,3
ENSDARG00000106741,1,8,8,11,2,14
ENSDARG00000106742,0,0,0,0,0,0
ENSDARG00000037256,0,3,0,0,0,3
ENSDARG00000039468,0,0,0,0,0,0
ENSDARG00000104728,0,0,0,0,7,0
ENSDARG00000103513,0,0,0,0,0,0
ENSDARG00000104724,0,0,0,0,0,0
ENSDARG00000088716,0,0,0,0,0,0
ENSDARG00000104721,0,0,0,0,0,0
MSTRG.41849,6,72,90,81,112,112
MSTRG.41848,0,14,0,0,0,0
MSTRG.41847,0,14,2,14,9,11
